2017-06-19 03:46:55 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2017-06-19 03:46:56 install libdb5.3:armhf <none> 5.3.28-11
2017-06-19 03:46:56 status half-installed libdb5.3:armhf 5.3.28-11
2017-06-19 03:46:56 status unpacked libdb5.3:armhf 5.3.28-11
2017-06-19 03:46:56 status unpacked libdb5.3:armhf 5.3.28-11
2017-06-19 03:46:56 install libdebconfclient0:armhf <none> 0.198ubuntu1
2017-06-19 03:46:56 status half-installed libdebconfclient0:armhf 0.198ubuntu1
2017-06-19 03:46:56 status unpacked libdebconfclient0:armhf 0.198ubuntu1
2017-06-19 03:46:56 status unpacked libdebconfclient0:armhf 0.198ubuntu1
2017-06-19 03:46:56 install libdevmapper1.02.1:armhf <none> 2:1.02.110-1ubuntu10
2017-06-19 03:46:56 status half-installed libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2017-06-19 03:46:56 status unpacked libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2017-06-19 03:46:57 status unpacked libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2017-06-19 03:46:57 install libfdisk1:armhf <none> 2.27.1-6ubuntu3
2017-06-19 03:46:57 status half-installed libfdisk1:armhf 2.27.1-6ubuntu3
2017-06-19 03:46:57 status unpacked libfdisk1:armhf 2.27.1-6ubuntu3
2017-06-19 03:46:57 status unpacked libfdisk1:armhf 2.27.1-6ubuntu3
2017-06-19 03:46:57 install libgcc1:armhf <none> 1:6.0.1-0ubuntu1
2017-06-19 03:46:57 status half-installed libgcc1:armhf 1:6.0.1-0ubuntu1
2017-06-19 03:46:57 status unpacked libgcc1:armhf 1:6.0.1-0ubuntu1
2017-06-19 03:46:57 status unpacked libgcc1:armhf 1:6.0.1-0ubuntu1
2017-06-19 03:46:57 install libgcrypt20:armhf <none> 1.6.5-2
2017-06-19 03:46:57 status half-installed libgcrypt20:armhf 1.6.5-2
2017-06-19 03:46:58 status unpacked libgcrypt20:armhf 1.6.5-2
2017-06-19 03:46:58 status unpacked libgcrypt20:armhf 1.6.5-2
2017-06-19 03:46:58 install libgpg-error0:armhf <none> 1.21-2ubuntu1
2017-06-19 03:46:58 status half-installed libgpg-error0:armhf 1.21-2ubuntu1
2017-06-19 03:46:58 status unpacked libgpg-error0:armhf 1.21-2ubuntu1
2017-06-19 03:46:58 status unpacked libgpg-error0:armhf 1.21-2ubuntu1
2017-06-19 03:46:58 install libkmod2:armhf <none> 22-1ubuntu4
2017-06-19 03:46:58 status half-installed libkmod2:armhf 22-1ubuntu4
2017-06-19 03:46:58 status unpacked libkmod2:armhf 22-1ubuntu4
2017-06-19 03:46:58 status unpacked libkmod2:armhf 22-1ubuntu4
2017-06-19 03:46:58 install liblzma5:armhf <none> 5.1.1alpha+20120614-2ubuntu2
2017-06-19 03:46:58 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2017-06-19 03:46:58 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2017-06-19 03:46:58 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2017-06-19 03:46:59 install libmount1:armhf <none> 2.27.1-6ubuntu3
2017-06-19 03:46:59 status half-installed libmount1:armhf 2.27.1-6ubuntu3
2017-06-19 03:46:59 status unpacked libmount1:armhf 2.27.1-6ubuntu3
2017-06-19 03:46:59 status unpacked libmount1:armhf 2.27.1-6ubuntu3
2017-06-19 03:46:59 install libncurses5:armhf <none> 6.0+20160213-1ubuntu1
2017-06-19 03:46:59 status half-installed libncurses5:armhf 6.0+20160213-1ubuntu1
2017-06-19 03:46:59 status unpacked libncurses5:armhf 6.0+20160213-1ubuntu1
2017-06-19 03:46:59 status unpacked libncurses5:armhf 6.0+20160213-1ubuntu1
